Maricopa County Block Groups GEO_ID,Geographic Area Name,Total,White,Black,Latitutde,Longitude,Native American,Asian,Pacific Islander,Other,Two Race
040136166004,"Block Group 4, Census Tract 6166, Maricopa County, Arizona",1576,1346,38,33.658167,-112.087194,12,27,1,108,44
040136167001,"Block Group 1, Census Tract 6167, Maricopa County, Arizona",1996,1711,61,33.660963,-112.068639,32,34,1,79,78
040136167002,"Block Group 2, Census Tract 6167, Maricopa County, Arizona",1442,1232,25,33.665161,-112.078246,17,36,4,91,37
040136167003,"Block Group 3, Census Tract 6167, Maricopa County, Arizona",1300,1078,38,33.658815,-112.078809,22,25,4,73,60
040136168001,"Block Group 1, Census Tract 6168, Maricopa County, Arizona",1450,1283,33,33.659003,-112.052434,10,26,9,54,35
040136168002,"Block Group 2, Census Tract 6168, Maricopa County, Arizona",1120,992,18,33.665114,-112.052802,10,24,0,41,35
040136168003,"Block Group 3, Census Tract 6168, Maricopa County, Arizona",1625,1285,31,33.659367,-112.061184,20,12,4,231,42
040136168004,"Block Group 4, Census Tract 6168, Maricopa County, Arizona",1400,1255,28,33.665493,-112.061095,12,20,12,37,36
040136169001,"Block Group 1, Census Tract 6169, Maricopa County, Arizona",904,850,11,33.663373,-112.039697,1,17,0,16,9
040136169002,"Block Group 2, Census Tract 6169, Maricopa County, Arizona",1402,1197,61,33.656728,-112.036341,20,56,0,16,52
040136169003,"Block Group 3, Census Tract 6169, Maricopa County, Arizona",1982,1613,93,33.66848,-112.034352,38,95,3,53,87
040136170001,"Block Group 1, Census Tract 6170, Maricopa County, Arizona",1183,1069,9,33.65903,-112.017225,7,46,0,32,20
040136170002,"Block Group 2, Census Tract 6170, Maricopa County, Arizona",1427,1292,30,33.665812,-112.017306,6,9,1,52,37
040136170003,"Block Group 3, Census Tract 6170, Maricopa County, Arizona",1003,866,30,33.671259,-112.018934,3,30,0,34,40
040136170004,"Block Group 4, Census Tract 6170, Maricopa County, Arizona",1299,1051,42,33.665603,-112.026838,18,42,2,106,38
040136170005,"Block Group 5, Census Tract 6170, Maricopa County, Arizona",979,879,24,33.659256,-112.027256,5,24,1,30,16
040136171001,"Block Group 1, Census Tract 6171, Maricopa County, Arizona",1325,1184,21,33.666664,-112.007651,8,42,1,34,35
040136171002,"Block Group 2, Census Tract 6171, Maricopa County, Arizona",897,803,18,33.665902,-112.011459,0,21,0,27,28
040136172001,"Block Group 1, Census Tract 6172, Maricopa County, Arizona",1239,1079,25,33.658273,-112.004045,2,69,1,14,49
040136172002,"Block Group 2, Census Tract 6172, Maricopa County, Arizona",1299,1173,25,33.659387,-112.009332,4,58,1,13,25
040136173001,"Block Group 1, Census Tract 6173, Maricopa County, Arizona",1258,1025,21,33.657341,-111.985254,3,140,1,35,33
040136173002,"Block Group 2, Census Tract 6173, Maricopa County, Arizona",970,881,10,33.657167,-111.991701,8,24,2,14,31
040136173003,"Block Group 3, Census Tract 6173, Maricopa County, Arizona",802,730,26,33.65926,-111.996875,3,18,0,16,9
040136174001,"Block Group 1, Census Tract 6174, Maricopa County, Arizona",1174,1137,17,33.644653,-112.294841,1,6,1,2,10
040136174002,"Block Group 2, Census Tract 6174, Maricopa County, Arizona",1134,1071,19,33.652667,-112.309795,3,7,1,20,13
040136174003,"Block Group 3, Census Tract 6174, Maricopa County, Arizona",2036,1691,119,33.647027,-112.303401,18,41,5,95,67
040136174004,"Block Group 4, Census Tract 6174, Maricopa County, Arizona",817,802,7,33.647717,-112.284405,1,4,0,0,3
040136174005,"Block Group 5, Census Tract 6174, Maricopa County, Arizona",1652,1631,5,33.641111,-112.280463,2,5,0,3,6
040136175001,"Block Group 1, Census Tract 6175, Maricopa County, Arizona",476,460,7,33.640953,-112.265902,3,2,0,2,2
040136175002,"Block Group 2, Census Tract 6175, Maricopa County, Arizona",1049,1024,11,33.648663,-112.265552,1,8,0,1,4
040136175003,"Block Group 3, Census Tract 6175, Maricopa County, Arizona",666,650,6,33.644027,-112.27116,1,1,0,1,7
